年度季別	全國	臺北市	新北市	桃園縣	新竹縣	臺中市	臺南市	高雄市
103Q1	132.69	134.89	128.42	130.59	130.59	152.00	140.87	144.66
102Q4	136.11	131.26	139.13	134.89	134.89	148.50	127.40	129.07
102Q3	127.93	131.43	139.78	130.72	130.72	130.40	126.93	120.84
102Q2	127.26	139.61	131.87	127.57	127.57	135.53	122.94	122.58
102Q1	124.11	125.24	140.83	128.55	128.55	128.04	117.56	117.04
101Q4	120.60	123.58	134.15	119.72	119.72	130.06	120.77	112.76
101Q3	113.44	117.73	116.07	117.39	117.39	121.89	115.07	112.03
101Q2	119.20	117.26	132.86	107.99	107.99	122.66	114.88	113.15
101Q1	112.75	124.10	120.48	111.53	111.53	114.55	107.40	108.70
100Q4	110.24	114.23	128.03	110.83	110.83	107.43	105.45	103.27
100Q3	114.16	112.25	124.41	114.30	114.30	109.77	104.46	109.74
100Q2	112.47	112.15	125.05	111.77	111.77	102.84	104.82	112.38
100Q1	105.63	108.94	117.18	108.37	108.37	105.79	103.06	114.81
99Q4	104.15	103.46	108.38	104.00	104.00	103.55	102.16	103.88
99Q3	104.25	102.75	101.58	103.59	103.59	104.67	101.95	102.11
99Q2	98.15	98.25	93.75	98.15	98.15	99.93	99.60	98.70
99Q1	94.85	92.01	89.52	93.53	93.53	96.60	97.03	90.51
